id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source,confidence_min,conf_T1,conf_T2,conf_T3,conf_T4
400000,本公司承諾於2030年達成範疇一及範疇二溫室氣體淨零排放，集團已連續五年榮獲台灣企業永續獎金獎，並積極參與多項環保公益活動。,,Yes,承諾於2030年達成範疇一及範疇二溫室氣體淨零排放,between_2_and_5_years,Yes,集團已連續五年榮獲台灣企業永續獎金獎，並積極參與多項環保公益活動,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400001,集團目標2028年女性管理職比例提升至40%，本公司一向重視性別平等，並設置多元共融委員會及員工協助方案。,,Yes,目標2028年女性管理職比例提升至40%,between_2_and_5_years,Yes,重視性別平等，並設置多元共融委員會及員工協助方案,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400002,公司計畫於2027年底前全面使用再生能源，目前已於屏東廠導入太陽能板示範案，可滿足該廠約5%電力需求。,,Yes,計畫於2027年底前全面使用再生能源,within_2_years,Yes,於屏東廠導入太陽能板示範案，可滿足該廠約5%電力需求,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400003,本公司宣示2035年達成範疇三供應鏈減碳50%，今年度已邀請主要供應商共同舉辦兩場永續說明會。,,Yes,宣示2035年達成範疇三供應鏈減碳50%,longer_than_5_years,Yes,已邀請主要供應商共同舉辦兩場永續說明會,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400004,我們承諾2029年將產品包裝塑膠用量減少30%，目前正在進行包材替代材料的研發評估，並已成立跨部門專案小組。,,Yes,承諾2029年將產品包裝塑膠用量減少30%,between_2_and_5_years,Yes,正在進行包材替代材料的研發評估，並已成立跨部門專案小組,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400005,公司預定於2027年導入100%電動物流車隊，目前車隊中有3台油電混合車輛作為試行，運行狀況良好。,,Yes,預定於2027年導入100%電動物流車隊,within_2_years,Yes,目前車隊中有3台油電混合車輛作為試行,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400006,本公司目標2030年董事會多元化比例達50%，現任董事會成員具備豐富產業經驗及高度多元背景。,,Yes,目標2030年董事會多元化比例達50%,between_2_and_5_years,Yes,現任董事會成員具備豐富產業經驗及高度多元背景,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400007,我們承諾2028年水資源回收率達到80%，本公司高度重視水資源永續，每年舉辦世界水資源日宣導活動。,,Yes,承諾2028年水資源回收率達到80%,between_2_and_5_years,Yes,每年舉辦世界水資源日宣導活動,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400008,集團宣布2026年底完成所有營運據點的ISO 14001認證，目前已開始相關文件準備及員工教育訓練。,,Yes,宣布2026年底完成所有營運據點的ISO 14001認證,within_2_years,Yes,目前已開始相關文件準備及員工教育訓練,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400009,"本公司目標2032年生物多樣性正向影響面積達1,000公頃，公司長期支持地方造林活動，董事長親自參與多場植樹典禮。",,Yes,"目標2032年生物多樣性正向影響面積達1,000公頃",longer_than_5_years,Yes,公司長期支持地方造林活動，董事長親自參與多場植樹典禮,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400010,我們承諾於2031年達成全產品線取得綠色標章，產品研發團隊已參加多場綠色設計國際研討會。,,Yes,承諾於2031年達成全產品線取得綠色標章,longer_than_5_years,Yes,產品研發團隊已參加多場綠色設計國際研討會,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400011,公司預期2028年員工教育訓練平均時數達50小時，今年度已盤點各單位現有訓練資源並建立內部講師資料庫。,,Yes,預期2028年員工教育訓練平均時數達50小時,between_2_and_5_years,Yes,已盤點各單位現有訓練資源並建立內部講師資料庫,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400012,本公司承諾2027年取得SBTi科學基礎減量目標認證，今年已委請外部顧問評估初步減量路徑。,,Yes,承諾2027年取得SBTi科學基礎減量目標認證,within_2_years,Yes,今年已委請外部顧問評估初步減量路徑,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400013,集團目標2029年食物里程縮短20%，本公司持續推動在地採購政策，並表揚優良在地供應商。,,Yes,目標2029年食物里程縮短20%,between_2_and_5_years,Yes,持續推動在地採購政策，並表揚優良在地供應商,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400014,我們宣示2030年成為碳負排企業，公司去年購買大量自願性碳權，並出席多場國際氣候峰會。,,Yes,宣示2030年成為碳負排企業,between_2_and_5_years,Yes,公司去年購買大量自願性碳權，並出席多場國際氣候峰會,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400015,本公司承諾2034年職場安全零事故，現行已實施每月安全宣導早會並懸掛安全標語於各廠區。,,Yes,承諾2034年職場安全零事故,longer_than_5_years,Yes,現行已實施每月安全宣導早會並懸掛安全標語於各廠區,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400016,公司預定2028年水耗量較基準年減少25%，現有節水措施包含廁所感應式水龍頭及員工節水提案活動。,,Yes,預定2028年水耗量較基準年減少25%,between_2_and_5_years,Yes,現有節水措施包含廁所感應式水龍頭及員工節水提案活動,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400017,我們承諾2027年底所有自有車輛完成電動化，公司本年度購置一輛特斯拉Model Y作為高階主管接駁示範車。,,Yes,承諾2027年底所有自有車輛完成電動化,within_2_years,Yes,本年度購置一輛特斯拉Model Y作為高階主管接駁示範車,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400018,本公司承諾2030年新進員工女性比例達45%，公司人資部門已重新設計招募網頁，採用更多元化的視覺呈現。,,Yes,承諾2030年新進員工女性比例達45%,between_2_and_5_years,Yes,公司人資部門已重新設計招募網頁，採用更多元化的視覺呈現,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400019,集團目標於2028年完成全廠區廢棄物零掩埋，本公司已與當地清潔隊建立良好溝通管道並簽訂合作備忘錄。,,Yes,目標於2028年完成全廠區廢棄物零掩埋,between_2_and_5_years,Yes,已與當地清潔隊建立良好溝通管道並簽訂合作備忘錄,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400020,本公司承諾於2026年第四季前完成總部大樓LED燈具汰換工程，預期可降低照明電力消耗約35%。,,Yes,承諾於2026年第四季前完成總部大樓LED燈具汰換工程,within_2_years,No,,N/A,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400021,集團目標於2027年中前在全台50個營業據點導入無紙化簽核系統，目前已於5個據點完成試行並回收良好反饋。,,Yes,目標於2027年中前在全台50個營業據點導入無紙化簽核系統,within_2_years,Yes,已於5個據點完成試行並回收良好反饋,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400022,我們將於明年底前完成董事會獨立董事比例提升至三分之一的目標，已於上次股東會通過相關章程修訂案。,,Yes,明年底前完成董事會獨立董事比例提升至三分之一的目標,within_2_years,Yes,已於上次股東會通過相關章程修訂案,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400023,公司預定於2026年12月前導入新版供應商行為準則並要求前50大供應商簽署。,,Yes,預定於2026年12月前導入新版供應商行為準則並要求前50大供應商簽署,within_2_years,No,,N/A,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400024,本公司承諾未來18個月內將員工年度健康檢查項目擴充至涵蓋癌症早期篩檢，現已完成方案規劃並編列預算。,,Yes,承諾未來18個月內將員工年度健康檢查項目擴充至涵蓋癌症早期篩檢,within_2_years,Yes,現已完成方案規劃並編列預算,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400025,集團計畫於2027年初前完成新北物流中心屋頂太陽能板建置，預估年發電量可達120萬度。,,Yes,計畫於2027年初前完成新北物流中心屋頂太陽能板建置,within_2_years,No,,N/A,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400026,我們承諾於2026年底發布首份依TNFD框架編製的自然相關財務揭露報告，目前正進行重大議題鑑別。,,Yes,承諾於2026年底發布首份依TNFD框架編製的自然相關財務揭露報告,within_2_years,Yes,目前正進行重大議題鑑別,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400027,本公司預定2027年第一季前完成所有作業流程的個人資料風險評估並導入隱私強化技術。,,Yes,預定2027年第一季前完成所有作業流程的個人資料風險評估並導入隱私強化技術,within_2_years,No,,N/A,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400028,"公司宣布於2026年底前將全體員工最低薪資調整至月薪35,000元以上，相關預算已納入下年度營運計畫。",,Yes,"宣布於2026年底前將全體員工最低薪資調整至月薪35,000元以上",within_2_years,Yes,相關預算已納入下年度營運計畫,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400029,我們將於明年第三季前完成全集團ISO 27001資訊安全管理系統認證，內部稽核已展開第二輪。,,Yes,明年第三季前完成全集團ISO 27001資訊安全管理系統認證,within_2_years,Yes,內部稽核已展開第二輪,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400030,集團承諾2027年農曆年前完成總部空調系統全面汰換為高效率變頻機組，工程招標已於本月公告。,,Yes,承諾2027年農曆年前完成總部空調系統全面汰換為高效率變頻機組,within_2_years,Yes,工程招標已於本月公告,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400031,本公司預期2026年底前將公司治理評鑑成績提升至前5%等級，已聘請外部專業顧問協助治理結構強化。,,Yes,預期2026年底前將公司治理評鑑成績提升至前5%等級,within_2_years,Yes,已聘請外部專業顧問協助治理結構強化,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400032,公司預定於未來兩年內取得B型企業（B Corp）認證。,,Yes,預定於未來兩年內取得B型企業（B Corp）認證,within_2_years,No,,N/A,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400033,我們承諾於2027年中前讓所有外籍移工居住空間達到Fair Wear Foundation標準，已啟動現況盤點。,,Yes,承諾於2027年中前讓所有外籍移工居住空間達到Fair Wear Foundation標準,within_2_years,Yes,已啟動現況盤點,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400034,集團目標2026年底前董事會通過並對外公布人權政策正式版本，相關草案已提交審計委員會審議。,,Yes,目標2026年底前董事會通過並對外公布人權政策正式版本,within_2_years,Yes,相關草案已提交審計委員會審議,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400035,本公司承諾2030年範疇一二排放較2020基準年減少40%，去年範疇一二總排放量為12萬公噸CO2e，較前年下降約3%。,,Yes,承諾2030年範疇一二排放較2020基準年減少40%,between_2_and_5_years,Yes,去年範疇一二總排放量為12萬公噸CO2e，較前年下降約3%,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400036,我們目標2028年女性主管比例達35%，現任課級以上女性主管比例為28.4%，較三年前提升4個百分點。,,Yes,目標2028年女性主管比例達35%,between_2_and_5_years,Yes,現任課級以上女性主管比例為28.4%，較三年前提升4個百分點,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400037,集團承諾2027年所有產品包材100%可回收，目前主要產品線回收材料使用比例約為65%。,,Yes,承諾2027年所有產品包材100%可回收,within_2_years,Yes,目前主要產品線回收材料使用比例約為65%,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400038,公司預定2031年廢水回收率提升至70%，去年廢水回收率為52%，預計明年完成第二期回收系統建置。,,Yes,預定2031年廢水回收率提升至70%,longer_than_5_years,Yes,去年廢水回收率為52%，預計明年完成第二期回收系統建置,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400039,我們承諾2029年員工敬業度調查分數達80分，最近一次調查分數為72分，較前次上升3分。,,Yes,承諾2029年員工敬業度調查分數達80分,between_2_and_5_years,Yes,最近一次調查分數為72分，較前次上升3分,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400040,本公司目標2027年產品單位能耗較基準年下降20%，今年度單位能耗已下降約8%。,,Yes,目標2027年產品單位能耗較基準年下降20%,within_2_years,Yes,今年度單位能耗已下降約8%,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400041,集團計畫2030年供應商ESG稽核覆蓋率達90%，目前前100大供應商完成稽核者為58家。,,Yes,計畫2030年供應商ESG稽核覆蓋率達90%,between_2_and_5_years,Yes,目前前100大供應商完成稽核者為58家,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400042,我們承諾2028年職災千人率降至0.5以下，去年職災千人率為0.9，較前年的1.2有所改善。,,Yes,承諾2028年職災千人率降至0.5以下,between_2_and_5_years,Yes,去年職災千人率為0.9，較前年的1.2有所改善,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400043,本公司承諾於2050年達成全價值鏈淨零排放，並通過SBTi長期目標審查。,,Yes,承諾於2050年達成全價值鏈淨零排放,longer_than_5_years,Yes,通過SBTi長期目標審查,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400044,集團設定2040年成為100%循環經濟企業之長期願景。,,Yes,設定2040年成為100%循環經濟企業之長期願景,longer_than_5_years,No,,N/A,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400045,我們宣示2045年達成水資源正影響，目前正進行流域水風險評估。,,Yes,宣示2045年達成水資源正影響,longer_than_5_years,Yes,目前正進行流域水風險評估,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400046,公司預定2050年董事會半數成員具備氣候變遷專業背景。,,Yes,預定2050年董事會半數成員具備氣候變遷專業背景,longer_than_5_years,No,,N/A,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400047,本公司承諾於2040年將全廠區可再生能源使用比例提升至100%，並已採購20年期長期再生能源購電合約。,,Yes,承諾於2040年將全廠區可再生能源使用比例提升至100%,longer_than_5_years,Yes,已採購20年期長期再生能源購電合約,Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400048,集團目標2055年成為碳負排企業領導者，目前正委託學術單位研擬轉型藍圖。,,Yes,目標2055年成為碳負排企業領導者,longer_than_5_years,Yes,目前正委託學術單位研擬轉型藍圖,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400049,我們承諾於2050年完全停用化石燃料，公司正在制定為期25年的逐步淘汰時程表。,,Yes,承諾於2050年完全停用化石燃料,longer_than_5_years,Yes,公司正在制定為期25年的逐步淘汰時程表,Not Clear,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
